TV_MONDAY,TV_TUESDAY,TV_WEDNESDAY,TV_THURSDAY,TV_FRIDAY,TV_SATURDAY,TV_SUNDAY,TOTAL_CONV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
0.0,0.0,2.1,0.0,0.0,11.41,0.08,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.51,0.0,0.0,0.0,0.0,0.0,0.0,1
1.08,2.08,0.24,1.4,3.92,7.56,16.27,1
0.0,0.0,0.0,0.0,0.0,0.17,0.0,1
0.72,0.0,0.0,0.0,0.82,0.0,0.34,1
0.0,0.7,0.0,0.08,0.78,0.0,2.4,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.99,0.0,14.28,1.4,2
1.19,0.34,0.34,1.02,1.96,0.98,2.1,1
0.0,0.0,0.0,0.06,0.0,0.0,0.0,1
0.0,0.06,0.0,0.0,0.0,0.0,1.04,1
0.0,0.0,0.0,0.0,0.0,1.47,0.0,1
0.0,0.0,0.0,0.0,0.0,0.7,0.0,1
1.7,0.0,2.38,0.0,0.34,1.19,1.7,1
0.0,0.0,0.0,0.0,0.7,0.0,0.0,1
0.24,0.84,0.0,1.02,2.38,0.72,0.0,1
0.08,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.68,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.98,0.0,0.0,0.0,0.0,1
2.81,4.65,0.0,3.14,2.11,4.22,2.48,1
0.36,0.12,0.08,0.33,0.0,0.0,0.48,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.12,0.51,0.03,0.0,0.06,4.05,1
0.17,0.49,0.0,0.0,0.0,0.0,0.51,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.0,2.86,0.0,3.0,9.3,15.18,7.31,1
3.76,0.0,0.0,0.0,1.0,0.94,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.08,0.48,0.06,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,3.62,0.0,0.0,0.98,1
1.19,1.19,0.0,0.0,7.77,1.19,1.73,1
0.0,0.0,0.98,0.0,0.0,1.02,0.34,1
0.0,0.0,0.0,0.0,0.0,0.73,0.0,1
0.12,0.03,0.0,0.0,0.0,0.03,0.12,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.49,1.4,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
0.49,0.0,0.0,0.7,0.0,0.0,0.49,1
0.7,0.34,0.0,0.7,0.0,0.0,0.0,1
0.0,0.0,0.0,0.24,0.0,1.24,0.17,1
0.0,0.0,0.0,1.0,0.0,0.36,0.0,1
0.0,0.0,0.0,0.0,0.0,0.96,0.0,1
0.49,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.34,0.24,0.98,1.41,0.68,1
0.0,0.0,0.0,0.0,0.0,1.98,1.82,1
0.0,2.1,4.1,0.0,0.08,2.5,2.96,1
0.0,0.0,0.17,0.34,0.41,0.34,0.0,1
0.0,0.0,0.0,0.0,0.0,1.47,2.84,1
0.0,0.0,0.0,0.0,1.84,3.96,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.34,0.6,0.53,0.24,18.38,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,1.49,0.0,0.0,2.28,0.0,0.81,1
0.49,0.0,1.17,0.34,0.46,0.34,0.2,1
5.04,4.8,2.7,8.1,5.4,8.28,3.96,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.57,0.0,0.0,0.0,3.57,0.0,0.24,1
0.0,0.0,0.0,0.0,0.0,0.0,0.49,1
0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
0.0,0.0,0.0,0.0,1.17,1.02,1.02,1
0.0,0.0,0.0,0.0,0.0,0.0,0.56,1
0.0,0.0,0.0,0.0,0.03,0.0,0.04,1
0.0,0.0,0.0,0.0,0.0,0.0,0.48,1
0.0,1.0,0.0,1.0,1.7,0.0,0.0,1
0.68,0.34,0.0,0.0,0.24,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.24,1
0.0,0.17,0.0,0.0,1.0,0.0,0.0,1
0.12,0.28,0.0,0.2,0.12,0.0,0.0,1
1.81,2.43,2.66,3.8,3.94,3.73,0.49,1
0.0,0.0,0.0,0.0,2.1,0.0,0.0,1
0.0,0.0,0.0,0.0,0.25,0.5,0.0,1
0.0,0.0,0.83,1.19,0.0,2.87,0.34,1
0.0,0.0,0.0,0.0,0.0,0.0,0.48,1
0.0,0.0,0.0,0.0,1.02,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,2.22,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.7,0.0,2.1,0.7,1.47,4.0,8.4,1
0.0,0.0,0.0,0.0,0.0,0.7,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.12,0.0,0.0,0.0,0.0,0.0,1
2.0,1.0,0.0,0.0,0.72,0.12,0.34,1
0.0,0.0,0.0,1.33,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.98,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.54,0.0,0.0,0.0,16.86,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.17,1
1.0,0.0,1.4,0.0,4.2,2.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.12,0.24,2.8,7.0,0.0,0.0,4.36,1
0.0,0.12,0.0,0.34,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.12,1
0.0,0.0,0.0,0.0,0.0,0.0,0.24,1
0.0,0.18,0.06,0.24,0.0,0.16,0.0,1
0.0,0.0,1.0,0.0,0.0,3.5,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.49,0.0,0.0,0.0,0.0,1
2.98,11.9,0.0,0.0,0.0,4.38,0.0,1
0.86,1.61,1.19,0.49,0.24,2.16,0.12,1
0.82,0.24,1.84,0.65,1.55,4.36,3.85,1
0.0,1.36,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.16,0.0,0.7,0.08,2.0,1
0.0,0.0,0.0,0.08,1.7,1.7,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.12,0.0,1
0.7,0.0,1.0,0.0,1.4,0.7,0.7,1
0.0,0.0,2.0,0.0,0.0,0.0,0.7,1
0.34,0.0,2.12,0.24,2.06,0.96,0.61,1
0.0,0.0,0.0,0.0,0.0,1.02,0.0,1
15.04,8.99,0.65,2.64,1.34,2.9,5.6,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.96,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.34,0.0,0.24,1
0.0,1.4,0.0,0.0,0.34,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.89,0.12,0.06,0.0,0.61,5.83,3.81,1
0.0,0.0,0.0,0.0,0.17,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.17,0.0,1.48,0.34,0.94,0.0,1
0.0,0.27,0.48,0.65,0.04,0.41,0.52,2
0.24,0.72,0.0,0.34,0.0,0.0,0.0,3
0.0,0.0,1.0,1.0,0.0,0.7,0.0,1
0.0,0.0,0.0,0.0,0.0,0.49,0.0,1
0.0,1.0,0.0,0.7,0.0,0.0,0.0,1
0.98,0.0,0.0,0.0,0.0,0.0,0.49,2
0.0,0.78,1.48,1.4,0.0,0.0,0.0,1
0.23,0.0,0.0,0.0,0.0,0.0,3.43,1
0.0,0.0,0.0,0.0,0.0,0.57,0.0,2
0.0,0.0,0.0,0.0,0.49,0.0,0.0,1
0.82,0.0,0.98,0.49,0.24,0.92,0.0,1
0.7,0.7,0.98,0.7,0.0,0.0,0.0,1
6.4,4.8,8.4,8.0,4.45,5.8,1.0,1
0.2,1.4,1.18,0.7,0.46,3.97,0.0,1
0.98,0.98,0.24,0.0,1.83,0.0,0.24,1
0.08,0.0,0.0,0.0,0.0,0.7,0.0,1
0.34,0.0,0.0,0.0,0.0,0.0,0.0,1
3.99,2.0,0.0,4.97,0.0,1.43,4.14,2
2.19,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.17,0.0,0.0,0.0,0.0,0.0,0.06,1
1.19,0.0,0.41,0.34,0.51,0.17,0.17,1
0.24,0.92,0.0,0.34,1.4,0.96,0.36,1
0.06,0.06,0.0,0.0,0.0,0.0,0.0,1
0.0,1.16,0.0,0.0,0.0,2.19,0.0,1
0.0,1.04,0.08,0.0,0.49,0.0,0.0,1
0.49,0.0,1.0,0.0,0.0,0.0,2.49,1
0.0,0.0,1.28,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2.32,0.0,0.0,0.0,0.0,0.0,1.16,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.4,6.0,0.84,0.36,0.0,0.12,1.44,1
0.0,1.0,0.0,0.0,0.0,0.34,0.72,1
1.7,1.0,0.0,0.7,2.0,1.7,1.4,1
0.32,0.0,0.0,0.0,0.2,5.42,4.62,1
0.0,0.0,2.0,0.7,0.0,1.16,0.78,1
0.0,0.0,0.0,0.0,0.0,0.0,0.49,1
4.86,3.12,1.04,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.58,1.18,1
0.0,0.0,0.0,0.0,0.0,0.0,1.12,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,9.0,0.0,3.0,2.0,5.0,1
0.0,2.92,0.0,0.0,0.0,0.0,0.0,1
3.7,1.7,0.0,1.0,0.0,0.0,2.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.24,1
2.45,0.61,0.0,0.34,0.18,0.0,0.04,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.52,0.7,0.72,0.97,1.4,0.0,3.5,1
2.94,0.68,0.0,0.0,1.4,0.0,2.49,1
0.0,0.0,0.0,0.0,3.1,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.2,0.54,2
0.0,0.0,0.48,0.0,0.0,0.0,0.12,1
0.0,0.08,0.0,0.0,1.51,0.24,0.0,1
0.61,0.0,0.0,0.0,0.24,0.0,0.0,1
0.0,0.0,0.0,0.34,0.0,4.08,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.49,0.0,1
0.0,0.17,0.58,0.0,1.0,3.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.24,2
0.0,0.0,0.0,0.0,0.0,2.1,0.0,1
0.0,0.0,0.98,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.68,0.94,1
0.32,1.6,2.04,0.2,5.8,2.64,0.24,1
0.14,0.0,0.08,0.0,0.03,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
0.0,0.0,0.0,0.0,1.48,0.0,0.0,1
0.0,0.72,0.34,3.72,0.76,1.36,0.0,1
0.0,0.0,0.0,0.0,0.0,0.49,0.0,1
0.83,0.0,0.0,0.0,0.0,1.7,2.97,1
0.0,0.04,0.0,0.0,0.0,0.0,0.0,1
1.24,0.0,0.0,0.0,0.0,0.94,2.68,1
0.0,0.7,1.0,0.0,0.0,3.4,2.68,2
0.0,0.0,0.0,0.0,0.0,0.7,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.34,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.49,1.34,0.0,0.0,0.0,0.0,1.46,1
2.0,0.49,0.7,0.7,0.0,0.0,3.1,1
0.0,0.0,3.66,0.0,0.0,0.0,0.0,1
0.49,0.98,0.0,0.0,0.0,0.0,0.0,1
1.4,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.7,0.7,1
0.0,0.0,0.0,0.0,0.0,2.8,0.0,1
0.0,1.81,1.22,0.24,0.73,0.94,0.0,1
0.0,0.0,0.08,0.22,0.0,4.06,0.1,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,2.28,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,1.96,0.0,1
0.0,0.0,1.0,0.65,0.0,0.12,0.17,1
0.06,0.96,2.04,1.18,0.16,0.0,0.0,1
0.16,0.08,0.82,4.14,1.3,0.0,0.0,1
3.41,3.09,1.77,0.28,4.94,3.63,2.65,1
0.0,0.0,0.0,0.0,0.12,0.0,0.0,1
5.51,0.24,0.48,0.96,2.48,1.0,0.68,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.24,1.4,0.34,0.0,2.48,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.36,0.0,0.0,1.1,3.04,1.8,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
0.0,0.0,0.24,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.34,2
11.04,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.7,0.0,0.08,0.0,1
0.24,0.0,0.34,0.51,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
0.98,1.0,0.7,0.0,0.0,0.0,0.98,1
0.0,0.0,5.4,1.4,7.18,10.0,0.0,1
0.0,0.0,0.0,0.0,0.28,0.0,0.0,1
0.0,0.0,0.17,0.0,0.0,0.12,0.24,1
1.1,2.14,0.55,1.65,0.55,7.83,1.27,1
0.0,0.68,0.0,0.0,0.03,0.06,0.0,1
0.0,0.0,1.0,0.0,0.0,3.4,0.0,1
0.0,0.92,0.24,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.98,0.0,1
0.0,1.0,0.0,0.7,0.0,0.06,0.12,1
0.0,0.0,0.0,0.0,0.0,0.08,0.16,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.29,0.12,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
0.0,0.0,0.0,0.0,0.0,0.0,0.24,1
0.0,0.0,0.0,0.0,0.0,2.0,0.0,1
0.0,0.85,0.0,1.0,0.24,0.17,0.17,1
1.76,0.0,0.0,0.0,0.0,0.0,0.58,1
1.51,1.96,0.0,0.0,0.0,0.7,0.48,1
0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
0.0,0.0,0.0,0.0,3.97,2.48,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.16,1
0.0,0.0,0.0,0.0,0.0,0.0,0.58,1
0.12,0.0,0.0,0.0,0.0,0.65,1.97,1
0.7,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.12,1
1.91,0.99,1.52,3.52,4.25,2.6,4.12,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.94,0.48,1.61,0.24,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
8.0,4.0,1.0,11.0,2.7,2.8,5.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,1.4,0.68,1.7,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.24,2
0.0,0.0,0.0,0.0,0.0,0.0,0.34,2
2.08,0.71,3.81,2.57,1.25,7.32,0.19,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.34,1
0.0,2.75,1.36,0.48,0.0,0.61,0.0,1
0.34,0.0,0.17,4.0,0.34,3.0,1.44,1
0.0,0.0,0.0,0.49,0.0,1.4,0.0,1
3.88,4.66,2.18,2.78,4.1,11.93,8.01,1
1.96,0.0,0.49,2.1,2.1,1.4,0.0,1
0.8,0.29,3.57,0.0,0.0,1.29,1.64,1
0.0,0.0,0.0,0.0,0.0,1.99,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
0.38,0.06,0.0,0.0,0.03,0.0,0.67,1
0.0,0.0,0.0,0.0,0.0,0.0,0.12,2
0.0,0.0,0.98,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
1.4,0.0,0.0,0.0,0.0,0.0,0.0,2
0.85,1.36,0.65,0.48,0.73,0.0,0.0,1
2.7,1.0,0.0,0.0,0.0,0.0,0.0,2
1.0,0.0,0.0,0.0,3.5,0.0,6.0,1
2.86,5.85,1.18,1.74,1.57,7.8,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.17,1
0.49,0.7,0.0,0.7,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.17,1
0.0,0.0,0.0,0.0,0.82,0.0,0.0,1
0.97,1.25,0.74,1.29,1.74,0.06,0.98,1
0.0,0.0,0.0,0.98,0.34,0.0,0.0,1
0.0,0.0,0.0,0.0,0.16,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1.47,0.0,1
0.24,0.0,0.0,0.0,0.0,0.0,0.0,1
2.48,0.0,1.34,0.0,0.96,1.05,0.0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.04,0.0,0.0,0.0,0.98,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1.4,0.0,1
0.0,0.0,0.0,0.0,0.58,1.53,0.0,1
0.0,0.0,0.0,0.49,0.49,0.34,0.0,1
0.0,0.0,0.34,0.0,0.68,0.0,0.49,1
0.0,0.7,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.08,0.0,0.0,0.0,0.0,1.25,2.98,1
0.0,0.0,0.0,0.0,0.0,0.0,0.49,1
0.0,0.7,0.0,3.0,2.6,2.8,4.7,2
0.34,0.48,0.0,0.34,0.24,0.85,1.02,1
0.0,0.0,0.0,0.0,0.0,1.24,0.51,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.12,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.34,0.0,1
0.0,0.0,0.0,0.0,0.0,0.14,3.6,1
0.0,0.0,4.9,0.0,0.0,12.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.34,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
0.0,0.49,0.0,0.0,0.0,0.0,0.42,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.34,0.49,0.68,0.49,0.49,0.0,0.0,1
0.0,1.0,0.0,0.0,4.0,2.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1.49,0.0,0.0,1
0.0,0.0,0.0,0.0,0.49,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.34,0.12,0.08,0.0,1.4,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,3.96,1
0.0,0.34,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,3.43,0.68,1
0.7,1.22,0.0,0.49,0.68,0.85,2.84,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.0,0.0,0.0,0.0,0.34,0.0,9.37,1
0.0,0.0,0.0,0.0,0.0,9.55,0.0,1
0.12,0.34,0.0,0.68,1.81,1.4,3.36,1
0.0,0.0,0.0,0.7,1.0,0.0,0.68,1
0.0,0.0,0.0,0.0,5.47,2.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,12.34,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.04,0.0,0.06,0.0,3.94,1.24,1
0.0,0.08,0.0,0.0,0.83,1.06,0.12,1
1.7,2.85,0.59,1.9,0.0,0.0,3.34,1
1.68,9.61,5.46,0.7,7.98,11.2,4.2,1
0.17,0.48,0.41,0.17,0.0,0.0,0.17,1
0.0,0.0,0.0,0.34,0.7,0.72,0.0,1
0.0,0.0,0.0,0.0,0.0,2.45,1.96,1
0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,5.11,0.7,0.0,1
0.0,0.49,0.0,0.0,0.0,0.09,0.98,1
0.0,0.0,0.0,0.0,0.17,0.0,0.0,1
0.0,0.7,2.1,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.34,0.0,1
0.0,0.0,0.24,0.49,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,2.97,0.17,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.64,0.96,1
0.0,0.0,0.24,1.06,0.87,0.72,0.0,1
0.0,0.0,0.0,0.0,4.32,0.3,0.48,1
0.12,0.0,0.0,0.0,0.0,0.0,0.34,1
0.0,0.0,0.12,0.0,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0.16,1.4,0.7,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1.19,0.0,0.0,1
0.0,0.0,0.0,0.0,0.24,0.06,0.0,1
0.0,0.0,0.0,0.0,0.0,0.36,0.0,1
0.0,0.0,0.0,1.24,0.0,9.92,0.77,1
0.0,0.0,0.49,0.98,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,1.7,1.7,1.0,1.7,1
1.19,0.0,0.0,0.0,0.0,0.0,15.3,2
0.0,0.48,0.0,0.0,0.0,0.0,0.0,1
0.17,0.0,0.0,0.17,0.0,10.56,1.48,1
0.0,0.0,0.0,0.0,0.0,0.0,1.92,1
0.0,0.0,0.0,0.0,0.0,0.0,0.68,1
